formula,a,b,c,band_gap,rA,rB,rX,chi_A,chi_B,chi_X,EA_A,EA_B,EA_X,tolerance_factor,octahedral_factor,volume,density,chi_diff_BX,r_ratio_BX,lattice_strain,packing_index,PC1_Size,PC2_Shape,Stability_Tag,B_site,is_semiconductor,B_site_encoded
CsGeI3,4.291,4.291,10.01233333,,1.81,0.77,1.273333333,0.79,2.01,2.66,0.471598338,1.232676413,3.059046537,1.067004523,0.604712042,184.3538997,5.280638446,0.65,0.604712042,0.435142635,0.285834568,1.821373333,0.326840784,Unstable_Hexagonal,Ge,1,7
CsGeF3,3.0975,3.0975,7.2275,,1.81,0.77,0.705,0.79,2.01,3.98,0.471598338,1.232676413,3.401189824,1.205676986,1.092198582,69.34429392,6.286880223,1.97,1.092198582,0.435142635,0.449266255,1.493445,0.080229232,Unstable_Hexagonal,Ge,1,7
CsMgCl3,3.444,3.444,8.036,,1.81,0.86,0.78,0.79,1.31,3.16,0.471598338,-0.42,3.61272528,1.116711319,1.102564103,95.3160889,4.591749648,1.85,1.102564103,0.435142635,0.351106963,1.72865,0.010002082,Unstable_Hexagonal,Mg,0,9
CsMgBr3,3.65925,3.65925,8.53825,,1.81,0.86,0.8825,0.79,1.31,2.96,0.471598338,-0.42,3.3635883,1.092616934,0.974504249,114.3281115,5.765035384,1.65,0.974504249,0.435142635,0.316103961,1.7877925,0.083505668,Unstable_Hexagonal,Mg,0,9
CsMgI3,4.48,4.48,10.45333333,,1.81,0.86,1.273333333,0.79,1.31,2.66,0.471598338,-0.42,3.059046537,1.02199027,0.67539267,209.8025813,4.257545755,1.35,0.67539267,0.435142635,0.254747588,2.013303333,0.245044503,Unstable_Hexagonal,Mg,0,9
CsMgF3,3.2865,3.2865,7.6685,,1.81,0.86,0.705,0.79,1.31,3.98,0.471598338,-0.42,3.401189824,1.13634093,1.219858156,82.82809923,4.294400963,2.67,1.219858156,0.435142635,0.385207867,1.685375,-0.059046679,Unstable_Hexagonal,Mg,0,9
CsMnCl3,3.48075,3.48075,8.12175,,1.81,0.8775,0.78,0.79,1.55,3.16,0.471598338,-0.52,3.61272528,1.104921003,1.125,98.4000413,4.964784646,1.61,1.125,0.435142635,0.341789705,1.6907475,-0.014195851,Unstable_Hexagonal,Mn,1,10
CsMnBr3,3.696,3.696,8.624,,1.81,0.8775,0.8825,0.79,1.55,2.96,0.471598338,-0.52,3.3635883,1.081752846,0.994334278,117.8074276,6.026555535,1.41,0.994334278,0.435142635,0.308177067,1.74989,0.061804928,Unstable_Hexagonal,Mn,1,10
CsMnI3,4.301666667,4.301666667,4.301666667,,1.81,0.8775,1.273333333,0.79,1.55,2.66,0.471598338,-0.52,3.059046537,1.013674967,0.689136126,79.59948584,11.86077368,1.11,0.689136126,0,0.673530484,1.975400833,0.229448961,Stable_Cubic,Mn,1,10
CsMnF3,3.32325,3.32325,7.75425,,1.81,0.8775,0.705,0.79,1.55,3.98,0.471598338,-0.52,3.401189824,1.123774758,1.244680851,85.63786382,4.747484904,2.43,1.244680851,0.435142635,0.374507404,1.6474725,-0.085480608,Unstable_Hexagonal,Mn,1,10
CsSnCl3,3.381,3.381,7.889,,1.81,0.83,0.78,0.79,1.96,3.16,0.471598338,1.1120702,3.61272528,1.137519605,1.064102564,90.18042913,6.591573162,1.2,1.064102564,0.435142635,0.368116823,1.58134,0.051905848,Unstable_Hexagonal,Sn,1,15
CsSnBr3,3.59625,3.59625,8.39125,,1.81,0.83,0.8825,0.79,1.96,2.96,0.471598338,1.1120702,3.3635883,1.111757669,0.940509915,108.5241543,7.517855289,1,0.940509915,0.435142635,0.33052881,1.6404825,0.121072162,Unstable_Hexagonal,Sn,1,15
CsSnI3,4.417,4.417,10.30633333,,1.81,0.83,1.273333333,0.79,1.96,2.66,0.471598338,1.1120702,3.059046537,1.036566993,0.651832461,201.0754193,5.22195787,0.7,0.651832461,0.435142635,0.264465405,1.865993333,0.272007314,Unstable_Hexagonal,Sn,1,15
CsSnF3,3.2235,3.2235,7.5215,,1.81,0.83,0.705,0.79,1.96,3.98,0.471598338,1.1120702,3.401189824,1.158549547,1.177304965,78.15554735,6.556928654,2.02,1.177304965,0.435142635,0.404793097,1.538065,-0.01326008,Unstable_Hexagonal,Sn,1,15
CsZnCl3,3.486,3.486,8.134,,1.81,0.88,0.78,0.79,1.65,3.16,0.471598338,-0.62,3.61272528,1.103256966,1.128205128,98.84596226,5.118291554,1.51,1.128205128,0.435142635,0.340493226,1.67219,-0.017638351,Unstable_Hexagonal,Zn,1,18
CsZnBr3,3.70125,3.70125,8.63625,,1.81,0.88,0.8825,0.79,1.65,2.96,0.471598338,-0.62,3.3635883,1.080218444,0.997167139,118.3101613,6.147911865,1.31,0.997167139,0.435142635,0.307072584,1.7313325,0.058717273,Unstable_Hexagonal,Zn,1,18
CsZnI3,4.306666667,4.306666667,4.306666667,,1.81,0.88,1.273333333,0.79,1.65,2.66,0.471598338,-0.62,3.059046537,1.0124981,0.691099476,79.87737363,12.03718753,1.01,0.691099476,0,0.671491027,1.956843333,0.227228827,Stable_Cubic,Zn,1,18
CsZnF3,3.3285,3.3285,7.7665,,1.81,0.88,0.705,0.79,1.65,3.98,0.471598338,-0.62,3.401189824,1.122002243,1.24822695,86.04437199,4.927131148,2.33,1.24822695,0.435142635,0.373020022,1.628915,-0.089240868,Unstable_Hexagonal,Zn,1,18
CsCdCl3,3.74,3.74,3.74,,1.81,1.09,0.78,0.79,1.69,3.16,0.471598338,-0.72,3.61272528,0.979361799,1.397435897,52.313624,11.16288856,1.47,1.397435897,0,0.692485807,1.78536,-0.295578388,Stable_Cubic,Cd,1,1
CsCdBr3,3.945,3.945,3.945,,1.81,1.09,0.8825,0.79,1.69,2.96,0.471598338,-0.72,3.3635883,0.965214199,1.235127479,61.39613363,13.11823885,1.27,1.235127479,0,0.633588245,1.8445025,-0.190828688,Stable_Cubic,Cd,1,1
CsCdI3,4.726666667,4.726666667,4.726666667,,1.81,1.09,1.273333333,0.79,1.69,2.66,0.471598338,-0.72,3.059046537,0.922530004,0.856020942,105.6002456,9.844178114,0.97,0.856020942,0,0.532262031,2.070013333,0.047021906,Stable_Cubic,Cd,1,1
CsCdF3,3.59,3.59,3.59,,1.81,1.09,0.705,0.79,1.69,3.98,0.471598338,-0.72,3.401189824,0.990737356,1.546099291,46.268279,10.8497791,2.29,1.546099291,0,0.749246261,1.742085,-0.392640888,Stable_Cubic,Cd,1,1
CsCoCl3,3.2515,3.2515,7.586833333,,1.81,0.768333333,0.78,0.79,1.88,3.16,0.471598338,0.66225547,3.61272528,1.182824476,0.985042735,80.20991578,6.173415291,1.28,0.985042735,0.435142635,0.407702304,1.561758333,0.139831691,Unstable_Hexagonal,Co,1,3
CsCoBr3,3.46675,3.46675,8.089083333,,1.81,0.768333333,0.8825,0.79,1.88,2.96,0.471598338,0.66225547,3.3635883,1.153287234,0.870632672,97.21747967,7.37117557,1.08,0.870632672,0.435142635,0.363876887,1.620900833,0.199836775,Unstable_Hexagonal,Co,1,3
CsCoI3,4.2875,4.2875,10.00416667,,1.81,0.768333333,1.273333333,0.79,1.88,2.66,0.471598338,0.66225547,3.059046537,1.067875547,0.603403141,183.9031569,5.169816596,0.78,0.603403141,0.435142635,0.286467766,1.846411667,0.328381991,Unstable_Hexagonal,Co,1,3
CsCoF3,3.094,3.094,7.219333333,,1.81,0.768333333,0.705,0.79,1.88,3.98,0.471598338,0.66225547,3.401189824,1.207040874,1.089834515,69.10949403,5.97889737,2.1,1.089834515,0.435142635,0.450613347,1.518483333,0.082864896,Unstable_Hexagonal,Co,1,3
CsNiCl3,3.192,3.192,7.448,,1.81,0.74,0.78,0.79,1.91,3.16,0.471598338,1.1571612,3.61272528,1.204872739,0.948717949,75.88665907,6.519867094,1.25,0.948717949,0.435142635,0.428260198,1.53941,0.181101437,Unstable_Hexagonal,Ni,1,11
CsNiBr3,3.40725,3.40725,7.95025,,1.81,0.74,0.8825,0.79,1.91,2.96,0.471598338,1.1571612,3.3635883,1.173426816,0.838526912,92.29725521,7.759807379,1.05,0.838526912,0.435142635,0.381080261,1.5985525,0.236774232,Unstable_Hexagonal,Ni,1,11
CsNiI3,4.228,4.228,9.865333333,,1.81,0.74,1.273333333,0.79,1.91,2.66,0.471598338,1.1571612,3.059046537,1.082903597,0.581151832,176.3525408,5.388906783,0.75,0.581151832,0.435142635,0.297584568,1.824063333,0.354738498,Unstable_Hexagonal,Ni,1,11
CsNiF3,3.0345,3.0345,7.0805,,1.81,0.74,0.705,0.79,1.91,3.98,0.471598338,1.1571612,3.401189824,1.230708342,1.04964539,65.19859107,6.331431035,2.07,1.04964539,0.435142635,0.474536767,1.496135,0.128011507,Unstable_Hexagonal,Ni,1,11
CsCuCl3,3.36,3.36,7.84,,1.81,0.82,0.78,0.79,1.9,3.16,0.471598338,1.235784,3.61272528,1.144629102,1.051282051,88.510464,5.681010415,1.26,1.051282051,0.435142635,0.374095906,1.58757,0.065996365,Unstable_Hexagonal,Cu,1,5
CsCuBr3,3.57525,3.57525,8.34225,,1.81,0.82,0.8825,0.79,1.9,2.96,0.471598338,1.235784,3.3635883,1.118287817,0.92917847,106.6340812,6.792076701,1.06,0.92917847,0.435142635,0.335585286,1.6467125,0.133700308,Unstable_Hexagonal,Cu,1,5
CsCuI3,4.396,4.396,10.25733333,,1.81,0.82,1.273333333,0.79,1.9,2.66,0.471598338,1.235784,3.059046537,1.041518746,0.643979058,198.2210793,4.835032395,0.76,0.643979058,0.435142635,0.267842156,1.872223333,0.28106056,Unstable_Hexagonal,Cu,1,5
CsCuF3,3.2025,3.2025,7.4725,,1.81,0.82,0.705,0.79,1.9,3.98,0.471598338,1.235784,3.401189824,1.166146593,1.163120567,76.6380067,5.491509205,2.08,1.163120567,0.435142635,0.411692534,1.544295,0.0021394,Unstable_Hexagonal,Cu,1,5
CsPdCl3,3.415125,3.415125,7.968625,,1.81,0.84625,0.78,0.79,2.2,3.16,0.471598338,0.5621412,3.61272528,1.126153152,1.084935897,92.93870103,6.176359831,0.96,1.084935897,0.435142635,0.358735174,1.54271625,0.029140599,Unstable_Hexagonal,Pd,1,13
CsPdBr3,3.630375,3.630375,8.470875,,1.81,0.84625,0.8825,0.79,2.2,2.96,0.471598338,0.5621412,3.3635883,1.101307308,0.958923513,111.6429359,7.125044175,0.76,0.958923513,0.435142635,0.322580262,1.60185875,0.100665343,Unstable_Hexagonal,Pd,1,13
CsPdI3,4.451125,4.451125,10.38595833,,1.81,0.84625,1.273333333,0.79,2.2,2.66,0.471598338,0.5621412,3.059046537,1.028620047,0.664594241,205.7719424,5.003594365,0.46,0.664594241,0.435142635,0.259126388,1.827369583,0.257366245,Unstable_Hexagonal,Pd,1,13
CsPdF3,3.257625,3.257625,7.601125,,1.81,0.84625,0.705,0.79,2.2,3.98,0.471598338,0.5621412,3.401189824,1.14641325,1.20035461,80.6640555,6.100019497,1.78,1.20035461,0.435142635,0.393983092,1.49944125,-0.038136541,Unstable_Hexagonal,Pd,1,13
CsVCl3,3.27075,3.27075,7.63175,,1.81,0.7775,0.78,0.79,1.63,3.16,0.471598338,0.527662,3.61272528,1.175862962,0.996794872,81.6429776,5.90251122,1.53,0.996794872,0.435142635,0.401388886,1.6170475,0.12660114,Unstable_Hexagonal,V,1,17
CsVBr3,3.486,3.486,8.134,,1.81,0.7775,0.8825,0.79,1.63,2.96,0.471598338,0.527662,3.3635883,1.14691868,0.88101983,98.84596226,7.115481158,1.33,0.88101983,0.435142635,0.358578231,1.67619,0.187990487,Unstable_Hexagonal,V,1,17
CsVI3,4.30675,4.30675,10.04908333,,1.81,0.7775,1.273333333,0.79,1.63,2.66,0.471598338,0.527662,3.059046537,1.063102434,0.610602094,186.391358,5.029605844,1.03,0.610602094,0.435142635,0.283012815,1.901700833,0.31991774,Unstable_Hexagonal,V,1,17
CsVF3,3.11325,3.11325,7.26425,,1.81,0.7775,0.705,0.79,1.63,3.98,0.471598338,0.527662,3.401189824,1.19957744,1.102836879,70.40747597,5.680192868,2.35,1.102836879,0.435142635,0.443283563,1.5737725,0.068395576,Unstable_Hexagonal,V,1,17
CsCrCl3,3.612,3.612,8.428,,1.81,0.94,0.78,0.79,1.66,3.16,0.471598338,0.67592827,3.61272528,1.064771258,1.205128205,109.9562728,4.398564851,1.5,1.205128205,0.435142635,0.311769202,1.70481,-0.099232362,Unstable_Hexagonal,Cr,1,4
CsCrBr3,3.82725,3.82725,8.93025,,1.81,0.94,0.8825,0.79,1.66,2.96,0.471598338,0.67592827,3.3635883,1.044655697,1.065155807,130.808896,5.390212813,1.3,1.065155807,0.435142635,0.282506825,1.7639525,-0.014493578,Unstable_Hexagonal,Cr,1,4
CsCrI3,4.426666667,4.426666667,4.426666667,,1.81,0.94,1.273333333,0.79,1.66,2.66,0.471598338,0.67592827,3.059046537,0.985050862,0.738219895,86.74220563,10.82778864,1,0.738219895,0,0.625549444,1.989463333,0.174509494,Stable_Cubic,Cr,1,4
CsCrF3,3.4545,3.4545,8.0605,,1.81,0.94,0.705,0.79,1.66,3.98,0.471598338,0.67592827,3.401189824,1.081078149,1.333333333,96.190543,4.175870473,2.32,1.333333333,0.435142635,0.340167249,1.661535,-0.178344416,Unstable_Hexagonal,Cr,1,4
CsPbCl3,3.805,3.805,3.805,,1.81,1.1225,0.78,0.79,2.33,3.16,0.471598338,0.3567212,3.61272528,0.962631571,1.439102564,55.08888512,13.45774341,0.83,1.439102564,0,0.666673178,1.6761125,-0.336864992,Stable_Cubic,Pb,1,12
CsPbBr3,4.01,4.01,4.01,,1.81,1.1225,0.8825,0.79,2.33,2.96,0.471598338,0.3567212,3.3635883,0.949568583,1.271954674,64.481201,14.93163987,0.63,1.271954674,0,0.611026283,1.735255,-0.227926967,Stable_Cubic,Pb,1,12
CsPbI3,4.791666667,4.791666667,4.791666667,,1.81,1.1225,1.273333333,0.79,2.33,2.66,0.471598338,0.3567212,3.059046537,0.910015684,0.881544503,110.0169994,10.87966914,0.33,0.881544503,0,0.515437082,1.960765833,0.020129125,Stable_Cubic,Pb,1,12
CsPbF3,3.655,3.655,3.655,,1.81,1.1225,0.705,0.79,2.33,3.98,0.471598338,0.3567212,3.401189824,0.973118224,1.592198582,48.82723638,13.50478916,1.65,1.592198582,1.22E-16,0.720216373,1.6328375,-0.437689813,Stable_Cubic,Pb,1,12
KCaCl3,5.376274279,5.376274279,7.7184,,1.52,1.14,0.78,0.82,1,3.16,0.50145913,0.024551,3.61272528,0.847054998,1.461538462,223.095143,1.380974874,2.16,1.461538462,0.179323003,0.120484471,1.78488,-0.434439809,Metastable,Ca,0,0
KCaBr3,5.663288921,5.663288921,8.13045,,1.52,1.14,0.8825,0.82,1,2.96,0.50145913,0.024551,3.3635883,0.839962443,1.291784703,260.7666334,2.030653887,1.96,1.291784703,0.179323003,0.113330936,1.8440225,-0.319438337,Metastable,Ca,0,0
KCaI3,6.58702965,6.723548399,9.508533333,,1.52,1.14,1.273333333,0.82,1,2.66,0.50145913,0.024551,3.059046537,0.818446799,0.895287958,421.1159463,1.8134323,1.66,0.895287958,0.17698145,0.111275908,2.069533333,-0.054326699,Unstable_Distorted,Ca,0,0
KCaF3,5.166263565,5.166263565,7.4169,,1.52,1.14,0.705,0.82,1,3.98,0.50145913,0.024551,3.401189824,0.85274395,1.617021277,197.9591319,1.142247071,2.98,1.617021277,0.179323003,0.127902123,1.741605,-0.54034407,Metastable,Ca,0,0
KFeCl3,3.265,3.265,3.265,,1.52,0.8525,0.78,0.82,1.83,3.16,0.50145913,0.15323635,3.61272528,0.996230075,1.092948718,34.80563462,9.603919734,1.33,1.092948718,1.36E-16,0.668536262,1.4529925,-0.068380081,Stable_Cubic,Fe,1,6
KFeBr3,3.47,3.47,3.47,,1.52,0.8525,0.8825,0.82,1.83,2.96,0.50145913,0.15323635,3.3635883,0.979149304,0.966005666,41.781923,13.30021387,1.13,0.966005666,0,0.620896633,1.512135,0.009292552,Stable_Cubic,Fe,1,6
KFeI3,4.251666667,4.251666667,4.251666667,,1.52,0.8525,1.273333333,0.82,1.83,2.66,0.50145913,0.15323635,3.059046537,0.92913443,0.669502618,76.85597292,10.27697605,0.83,0.669502618,0,0.562732944,1.737645833,0.183559691,Stable_Cubic,Fe,1,6
KFeF3,3.115,3.115,3.115,,1.52,0.8525,0.705,0.82,1.83,3.98,0.50145913,0.15323635,3.401189824,1.010152545,1.209219858,30.22554588,8.347242884,2.15,1.209219858,0,0.71822431,1.4097175,-0.140740591,Stable_Cubic,Fe,1,6
KGeCl3,3.255,3.255,7.595,,1.52,0.77,0.78,0.82,2.01,3.16,0.50145913,1.232676413,3.61272528,1.049255224,0.987179487,80.46921487,4.500594309,1.15,0.987179487,0.435142635,0.280678074,1.36939,0.043887546,Unstable_Hexagonal,Ge,1,7
KGeBr3,3.47025,3.47025,8.09725,,1.52,0.77,0.8825,0.82,2.01,2.96,0.50145913,1.232676413,3.3635883,1.028032703,0.872521246,97.51222676,5.984862622,0.95,0.872521246,0.435142635,0.259037984,1.4285325,0.1099466,Unstable_Hexagonal,Ge,1,7
KGeI3,4.086666667,4.086666667,4.086666667,,1.52,0.77,1.273333333,0.82,2.01,2.66,0.50145913,1.232676413,3.059046537,0.966648422,0.604712042,68.2507843,11.98133869,0.65,0.604712042,0,0.623677863,1.654043333,0.255889021,Stable_Cubic,Ge,1,7
KGeF3,3.0975,3.0975,7.2275,,1.52,0.77,0.705,0.82,2.01,3.98,0.50145913,1.232676413,3.401189824,1.066652602,1.092198582,69.34429392,4.040545028,1.97,1.092198582,0.435142635,0.303209334,1.326115,-0.018061007,Unstable_Hexagonal,Ge,1,7
KMgCl3,3.28,3.28,3.28,,1.52,0.86,0.78,0.82,1.31,3.16,0.50145913,-0.42,3.61272528,0.991674144,1.102564103,35.287552,7.988570294,1.85,1.102564103,0,0.661364336,1.56132,-0.0783992,Stable_Cubic,Mg,0,9
KMgBr3,3.485,3.485,3.485,,1.52,0.86,0.8825,0.82,1.31,2.96,0.50145913,-0.42,3.3635883,0.974934888,0.974504249,42.32610913,11.89183439,1.65,0.974504249,1.27E-16,0.614546325,1.6204625,0.000304461,Stable_Cubic,Mg,0,9
KMgI3,4.266666667,4.266666667,4.266666667,,1.52,0.86,1.273333333,0.82,1.31,2.66,0.50145913,-0.42,3.059046537,0.925867942,0.67539267,77.6722963,9.494679529,1.35,0.67539267,0,0.55770834,1.845973333,0.177086017,Stable_Cubic,Mg,0,9
KMgF3,3.13,3.13,3.13,,1.52,0.86,0.705,0.82,1.31,3.98,0.50145913,-0.42,3.401189824,1.005311558,1.219858156,30.664297,6.519847532,2.67,1.219858156,1.42E-16,0.710201227,1.518045,-0.151684445,Stable_Cubic,Mg,0,9
KMnCl3,3.315,3.315,3.315,,1.52,0.8775,0.78,0.82,1.55,3.16,0.50145913,-0.52,3.61272528,0.98120398,1.125,36.42928087,9.13453349,1.61,1.125,0,0.645192727,1.5234175,-0.101663786,Stable_Cubic,Mn,1,10
KMnBr3,3.52,3.52,3.52,,1.52,0.8775,0.8825,0.82,1.55,2.96,0.50145913,-0.52,3.3635883,0.965240933,0.994334278,43.614208,12.70692516,1.41,0.994334278,0,0.600201968,1.58256,-0.020568995,Stable_Cubic,Mn,1,10
KMnI3,4.301666667,4.301666667,4.301666667,,1.52,0.8775,1.273333333,0.82,1.55,2.66,0.50145913,-0.52,3.059046537,0.918334727,0.689136126,79.59948584,9.903844854,1.11,0.689136126,0,0.546290791,1.808070833,0.162043411,Stable_Cubic,Mn,1,10
KMnF3,3.165,3.165,3.165,,1.52,0.8775,0.705,0.82,1.55,3.98,0.50145913,-0.52,3.401189824,0.994194368,1.244680851,31.70451713,7.91035349,2.43,1.244680851,1.40E-16,0.692134812,1.4801425,-0.177093943,Stable_Cubic,Mn,1,10
KSnCl3,3.22,3.22,3.22,,1.52,0.83,0.78,0.82,1.96,3.16,0.50145913,1.1120702,3.61272528,1.010152545,1.064102564,33.386248,13.13895375,1.2,1.064102564,1.38E-16,0.690964706,1.41401,-0.038142664,Stable_Cubic,Sn,1,15
KSnBr3,3.425,3.425,3.425,,1.52,0.83,0.8825,0.82,1.96,2.96,0.50145913,1.1120702,3.3635883,0.992014039,0.940509915,40.17739062,16.42959756,1,0.940509915,1.30E-16,0.640712228,1.4731525,0.036413416,Stable_Cubic,Sn,1,15
KSnI3,4.206666667,4.206666667,4.206666667,,1.52,0.83,1.273333333,0.82,1.96,2.66,0.50145913,1.1120702,3.059046537,0.939073665,0.651832461,74.4413603,12.01263433,0.7,0.651832461,0,0.578297843,1.698663333,0.203079531,Stable_Cubic,Sn,1,15
KSnF3,3.2235,3.2235,7.5215,,1.52,0.83,0.705,0.82,1.96,3.98,0.50145913,1.1120702,3.401189824,1.024959341,1.177304965,78.15554735,4.563845203,2.02,1.177304965,0.435142635,0.275202628,1.370735,-0.107708356,Unstable_Hexagonal,Sn,1,15
KZnCl3,3.32,3.32,3.32,,1.52,0.88,0.78,0.82,1.65,3.16,0.50145913,-0.62,3.61272528,0.979726263,1.128205128,36.594368,9.568464902,1.51,1.128205128,0,0.642945015,1.50486,-0.104974558,Stable_Cubic,Zn,1,18
KZnBr3,3.525,3.525,3.525,,1.52,0.88,0.8825,0.82,1.65,2.96,0.50145913,-0.62,3.3635883,0.963871797,0.997167139,43.80032813,13.04990033,1.31,0.997167139,0,0.598205403,1.5640025,-0.023539807,Stable_Cubic,Zn,1,18
KZnI3,4.306666667,4.306666667,4.306666667,,1.52,0.88,1.273333333,0.82,1.65,2.66,0.50145913,-0.62,3.059046537,0.917268549,0.691099476,79.87737363,10.08706673,1.01,0.691099476,0,0.544693993,1.789513333,0.159901534,Stable_Cubic,Zn,1,18
KZnF3,3.17,3.17,3.17,,1.52,0.88,0.705,0.82,1.65,3.98,0.50145913,-0.62,3.401189824,0.992626239,1.24822695,31.855013,8.418812364,2.33,1.24822695,0,0.689626447,1.461585,-0.180709703,Stable_Cubic,Zn,1,18
KCdCl3,5.236267136,5.236267136,7.5174,,1.52,1.09,0.78,0.82,1.69,3.16,0.50145913,-0.72,3.61272528,0.869703528,1.397435897,206.1157832,2.077476165,1.47,1.397435897,0.179323003,0.126619261,1.61803,-0.373106785,Metastable,Cd,1,1
KCdBr3,5.523281779,5.523281779,7.92945,,1.52,1.09,0.8825,0.82,1.69,2.96,0.50145913,-0.72,3.3635883,0.861254267,1.235127479,241.9008893,2.685556963,1.27,1.235127479,0.179323003,0.118939846,1.6771725,-0.264328361,Metastable,Cd,1,1
KCdI3,6.617670944,6.617670944,9.5006,,1.52,1.09,1.273333333,0.82,1.69,2.66,0.50145913,-0.72,3.059046537,0.835762317,0.856020942,416.065179,2.124131371,0.97,0.856020942,0.179323003,0.110748963,1.902683333,-0.014322848,Metastable,Cd,1,1
KCdF3,5.026256422,5.026256422,7.2159,,1.52,1.09,0.705,0.82,1.69,3.98,0.50145913,-0.72,3.401189824,0.876497264,1.546099291,182.2971118,1.899262555,2.29,1.546099291,0.179323003,0.1346051,1.574755,-0.473408633,Metastable,Cd,1,1
KCoCl3,3.2515,3.2515,7.586833333,,1.52,0.768333333,0.78,0.82,1.88,3.16,0.50145913,0.66225547,3.61272528,1.05038467,0.985042735,80.20991578,4.231379491,1.28,0.985042735,0.435142635,0.281430958,1.394428333,0.046196748,Unstable_Hexagonal,Co,1,3
KCoBr3,3.46675,3.46675,8.089083333,,1.52,0.768333333,0.8825,0.82,1.88,2.96,0.50145913,0.66225547,3.3635883,1.029070596,0.870632672,97.21747967,5.768886265,1.08,0.870632672,0.435142635,0.259695889,1.453570833,0.112015612,Unstable_Hexagonal,Co,1,3
KCoI3,4.083333333,4.083333333,4.083333333,,1.52,0.768333333,1.273333333,0.82,1.88,2.66,0.50145913,0.66225547,3.059046537,0.967437523,0.603403141,68.08391204,11.67640109,0.78,0.603403141,0,0.625024491,1.679081667,0.257372308,Stable_Cubic,Co,1,3
KCoF3,3.094,3.094,7.219333333,,1.52,0.768333333,0.705,0.82,1.88,3.98,0.50145913,0.66225547,3.401189824,1.067859223,1.089834515,69.10949403,3.724930238,2.1,1.089834515,0.435142635,0.304060197,1.351153333,-0.015536532,Unstable_Hexagonal,Co,1,3
KNiCl3,3.192,3.192,7.448,,1.52,0.74,0.78,0.82,1.91,3.16,0.50145913,1.1571612,3.61272528,1.069964208,0.948717949,75.88665907,4.467193674,1.25,0.948717949,0.435142635,0.294795183,1.37208,0.085721106,Unstable_Hexagonal,Ni,1,11
